castTotalLikes,directorLikes,actor1likes,criticReviews,fbPosters,duration,actor3likes,actor2,userReviews,gross,actor1,title,userVotes,language,country,contentRating,budget,year,actor2Likes,rating,aspectRatio,movieLikes,genre,subgenre
2023,395,451,403,1,106,393,Mathieu Amalric,1243,168368427,Giancarlo Giannini,Quantum of Solace ,330784,English,UK,PG-13,200000000,2008,412,6.7,2.35,0,Action,Adventure
48486,563,40000,313,2,151,1000,Orlando Bloom,1832,423032628,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,522040,English,USA,PG-13,225000000,2006,5000,7.3,2.35,5000,Action,Adventure
45757,563,40000,450,1,150,1000,Ruth Wilson,711,89289910,Johnny Depp,The Lone Ranger ,181792,English,USA,PG-13,215000000,2013,2000,6.5,2.35,48000,Action,Adventure
20495,0,15000,733,0,143,748,Christopher Meloni,2536,291021565,Henry Cavill,Man of Steel ,548573,English,USA,PG-13,225000000,2013,3000,7.2,2.35,118000,Action,Adventure
22697,80,22000,258,4,150,201,Pierfrancesco Favino,438,141614023,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,149922,English,USA,PG,225000000,2008,216,6.6,2.35,0,Action,Adventure
87697,0,26000,703,3,173,19000,Robert Downey Jr.,1722,623279547,Chris Hemsworth,The Avengers ,995415,English,USA,PG-13,220000000,2012,21000,8.1,1.85,123000,Action,Adventure
54083,252,40000,448,4,136,1000,Sam Claflin,484,241063875,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,370704,English,USA,PG-13,250000000,2011,11000,6.7,2.35,58000,Action,Adventure
12572,188,10000,451,1,106,718,Michael Stuhlbarg,341,179020854,Will Smith,Men in Black 3 ,268154,English,USA,PG-13,225000000,2012,816,6.8,1.85,40000,Action,Adventure
9152,0,5000,422,0,164,773,Adam Brown,802,255108370,Aidan Turner,The Hobbit: The Battle of the Five Armies ,354228,English,New Zealand,PG-13,250000000,2014,972,7.5,2.35,65000,Adventure,Fantasy
28489,464,15000,599,0,153,963,Andrew Garfield,1225,262030663,Emma Stone,The Amazing Spider-Man ,451803,English,USA,PG-13,230000000,2012,10000,7,2.35,56000,Action,Adventure
3244,0,891,343,0,156,738,William Hurt,546,105219735,Mark Addy,Robin Hood ,211765,English,USA,PG-13,200000000,2010,882,6.7,2.35,17000,Action,Adventure
9152,0,5000,509,6,186,773,Adam Brown,951,258355354,Aidan Turner,The Hobbit: The Desolation of Smaug ,483540,English,USA,PG-13,225000000,2013,972,7.9,2.35,83000,Adventure,Fantasy
24106,129,16000,251,2,113,1000,Eva Green,666,70083519,Christopher Lee,The Golden Compass ,149019,English,USA,PG-13,180000000,2007,6000,6.1,2.35,0,Adventure,Family
7123,0,6000,446,0,201,84,Thomas Kretschmann,2618,218051260,Naomi Watts,King Kong ,316018,English,New Zealand,PG-13,207000000,2005,919,7.2,2.35,0,Action,Adventure
45223,0,29000,315,0,194,794,Kate Winslet,2528,658672302,Leonardo DiCaprio,Titanic ,793059,English,USA,PG-13,200000000,1997,14000,7.7,2.35,26000,Drama,Romance
64798,94,21000,516,0,147,11000,Scarlett Johansson,1022,407197282,Robert Downey Jr.,Captain America: Civil War ,272670,English,USA,PG-13,250000000,2016,19000,8.2,2.35,72000,Action,Adventure
26679,532,14000,377,0,131,627,Alexander Skarsgård,751,65173160,Liam Neeson,Battleship ,202382,English,USA,PG-13,209000000,2012,10000,5.9,2.35,44000,Action,Adventure
8458,365,3000,644,0,124,1000,Judy Greer,1290,652177271,Bryce Dallas Howard,Jurassic World ,418214,English,USA,PG-13,150000000,2015,2000,7,2,150000,Action,Adventure
2039,0,883,750,0,143,393,Helen McCrory,1498,304360277,Albert Finney,Skyfall ,522030,English,UK,PG-13,200000000,2012,563,7.8,2.35,80000,Action,Adventure
43388,0,24000,300,1,135,4000,James Franco,1303,373377893,J.K. Simmons,Spider-Man 2 ,411164,English,USA,PG-13,200000000,2004,11000,7.3,2.35,0,Action,Adventure
30426,1000,21000,608,3,195,3000,Jon Favreau,1187,408992272,Robert Downey Jr.,Iron Man 3 ,557489,English,USA,PG-13,200000000,2013,4000,7.2,2.35,95000,Action,Adventure
79957,13000,40000,451,0,108,11000,Alan Rickman,736,334185206,Johnny Depp,Alice in Wonderland ,306320,English,USA,PG,200000000,2010,25000,6.5,1.85,24000,Adventure,Family
21714,420,20000,334,0,104,560,Kelsey Grammer,1912,234360014,Hugh Jackman,X-Men: The Last Stand ,383427,English,Canada,PG-13,210000000,2006,808,6.8,2.35,0,Action,Adventure
14863,37,12000,376,0,104,760,Tyler Labine,265,268488329,Steve Buscemi,Monsters University ,235025,English,USA,G,200000000,2013,779,7.3,1.85,44000,Adventure,Animation
3218,0,894,366,0,150,464,Kevin Dunn,1439,402076689,Glenn Morshower,Transformers: Revenge of the Fallen ,323207,English,USA,PG-13,200000000,2009,581,6,2.35,0,Action,Adventure
3988,0,974,378,2,165,808,Sophia Myles,918,245428137,Bingbing Li,Transformers: Age of Extinction ,242420,English,USA,PG-13,210000000,2014,956,5.7,2.35,56000,Action,Adventure
73441,0,44000,525,4,130,11000,Mila Kunis,511,234903076,Tim Holmes,Oz the Great and Powerful ,175409,English,USA,PG,215000000,2013,15000,6.4,2.35,60000,Adventure,Family
28631,464,15000,495,0,142,825,Andrew Garfield,1067,202853933,Emma Stone,The Amazing Spider-Man 2 ,321227,English,USA,PG-13,200000000,2014,10000,6.7,2.35,41000,Action,Adventure
25550,364,12000,469,0,125,1000,Olivia Wilde,665,172051787,Jeff Bridges,TRON: Legacy ,264183,English,USA,PG,170000000,2010,10000,6.8,2.35,30000,Action,Adventure
4482,487,1000,304,0,106,776,Thomas Kretschmann,283,191450875,Joe Mantegna,Cars 2 ,101178,English,USA,G,200000000,2011,919,6.3,2.35,10000,Adventure,Animation
17657,258,16000,436,2,123,326,Temuera Morrison,550,116593191,Ryan Reynolds,Green Lantern ,223393,English,USA,PG-13,200000000,2011,368,5.6,2.35,24000,Action,Adventure
19085,125,15000,453,3,103,721,John Ratzenberger,733,414984497,Tom Hanks,Toy Story 3 ,544884,English,USA,G,200000000,2010,1000,8.3,1.85,30000,Adventure,Animation
27468,368,23000,422,0,118,988,Bryce Dallas Howard,974,125320003,Christian Bale,Terminator Salvation ,286095,English,USA,PG-13,200000000,2009,3000,6.6,2.35,0,Action,Adventure
79150,0,26000,424,0,140,14000,Paul Walker,657,350034110,Jason Statham,Furious 7 ,278232,English,USA,PG-13,190000000,2015,23000,7.2,2.35,94000,Action,Crime
32392,395,17000,654,0,123,1000,Brad Pitt,995,202351611,Peter Capaldi,World War Z ,465019,English,USA,PG-13,190000000,2013,11000,7,2.35,129000,Action,Adventure
91434,0,34000,539,7,149,20000,Peter Dinklage,752,233914986,Jennifer Lawrence,X-Men: Days of Future Past ,514125,English,USA,PG-13,200000000,2014,22000,8,2.35,82000,Action,Adventure
21411,14000,19000,590,0,132,928,Bruce Greenwood,1171,228756232,Benedict Cumberbatch,Star Trek Into Darkness ,395573,English,USA,PG-13,190000000,2013,981,7.8,2.35,92000,Action,Adventure
1766,0,979,338,1,114,140,Ewen Bremner,205,65171860,Eddie Marsan,Jack the Giant Slayer ,106416,English,USA,PG-13,195000000,2013,557,6.3,2.35,22000,Adventure,Fantasy
29770,1000,29000,490,4,143,77,Elizabeth Debicki,753,144812796,Leonardo DiCaprio,The Great Gatsby ,362912,English,Australia,PG-13,105000000,2013,509,7.3,2.35,115000,Drama,Romance
16149,179,15000,306,2,116,236,Richard Coyle,453,90755643,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,222403,English,USA,PG-13,200000000,2010,567,6.6,2.35,23000,Action,Adventure
19166,0,16000,575,0,131,919,Clifton Collins Jr.,1106,101785482,Charlie Hunnam,Pacific Rim ,381148,English,USA,PG-13,190000000,2013,968,7,1.85,83000,Action,Adventure
2593,0,894,428,2,154,581,Lester Speight,899,352358779,Glenn Morshower,Transformers: Dark of the Moon ,326180,English,USA,PG-13,195000000,2011,829,6.3,2.35,46000,Action,Adventure
14959,14000,11000,470,2,122,1000,Ray Winstone,2054,317011114,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,333847,English,USA,PG-13,185000000,2008,1000,6.2,2.35,5000,Action,Adventure
696,113,275,298,0,93,113,Jack McGraw,345,123070338,A.J. Buckley,The Good Dinosaur ,62836,English,USA,PG,,2015,150,6.8,2.35,20000,Adventure,Animation
5005,56,2000,488,0,93,838,John Ratzenberger,428,237282182,Kelly Macdonald,Brave ,273556,English,USA,PG,185000000,2012,1000,7.2,2.35,39000,Adventure,Animation
1327,681,998,322,4,122,105,Melissa Roxburgh,432,130468626,Sofia Boutella,Star Trek Beyond ,53607,English,USA,PG-13,185000000,2016,119,7.5,2.35,30000,Action,Adventure
2975,475,1000,421,0,98,522,Fred Willard,1043,223806889,John Ratzenberger,WALL·E ,718837,English,USA,G,180000000,2008,729,8.4,2.35,16000,Adventure,Animation
1125,420,268,162,2,91,173,Dana Ivey,221,140080850,Tzi Ma,Rush Hour 3 ,121084,English,USA,PG-13,140000000,2007,268,6.2,2.35,0,Action,Comedy
2144,776,1000,367,0,158,310,Liam James,1055,166112167,Oliver Platt,2012 ,283418,English,USA,PG-13,200000000,2009,468,5.8,2.35,13000,Action,Adventure
48878,0,18000,240,0,96,10000,Colin Firth,249,137850096,Robin Wright,A Christmas Carol ,72809,English,USA,PG,200000000,2009,14000,6.8,2.35,0,Animation,Drama
47334,0,17000,384,1,127,13000,Mila Kunis,720,47375327,Channing Tatum,Jupiter Ascending ,139593,English,USA,PG-13,176000000,2015,15000,5.4,2.35,44000,Action,Adventure
21175,282,11000,248,2,110,103,Alexander Skarsgård,239,124051759,Christoph Waltz,The Legend of Tarzan ,42372,English,USA,PG-13,180000000,2016,10000,6.6,2.35,29000,Action,Adventure
1317,80,1000,284,5,150,82,Kiran Shah,1463,291709845,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,English,USA,PG,180000000,2005,190,6.9,2.35,0,Adventure,Family
49684,0,34000,396,6,144,1000,Michael Fassbender,622,154985087,Jennifer Lawrence,X-Men: Apocalypse ,148379,English,USA,PG-13,178000000,2016,13000,7.3,2.35,54000,Action,Adventure
57802,22000,23000,645,0,152,11000,Heath Ledger,4667,533316061,Christian Bale,The Dark Knight ,1676169,English,USA,PG-13,185000000,2008,13000,9,2.35,37000,Action,Crime
2635,0,1000,408,1,96,262,Delroy Lindo,704,292979556,John Ratzenberger,Up ,665575,English,USA,PG,175000000,2009,848,8.3,1.85,27000,Adventure,Animation
2579,11,1000,219,2,94,459,Rainn Wilson,187,198332128,Amy Poehler,Monsters vs. Aliens ,114553,English,USA,PG,175000000,2009,973,6.5,2.35,0,Action,Adventure
39252,4000,21000,486,3,126,4000,Jeff Bridges,1055,318298180,Robert Downey Jr.,Iron Man ,696338,English,USA,PG-13,140000000,2008,12000,7.9,2.35,10000,Action,Adventure
36017,17000,17000,682,0,126,1000,Christopher Lee,678,73820094,Chloë Grace Moretz,Hugo ,245333,English,USA,PG,170000000,2011,16000,7.5,1.85,42000,Adventure,Drama
15870,188,10000,85,2,106,582,Salma Hayek,648,113745408,Will Smith,Wild Wild West ,129601,English,USA,PG-13,170000000,1999,4000,4.8,1.85,0,Action,Comedy
9131,357,5000,264,2,112,595,Brendan Fraser,501,102176165,Jet Li,The Mummy: Tomb of the Dragon Emperor ,117927,English,USA,PG-13,145000000,2008,3000,5.2,2.35,0,Action,Adventure
11287,452,10000,418,8,123,329,Robin Atkin Downes,971,161087183,Will Smith,Suicide Squad ,118992,English,USA,PG-13,175000000,2016,336,6.9,2.35,80000,Action,Adventure
108016,293,87000,186,0,96,7000,Morgan Freeman,257,100289690,Jimmy Bennett,Evan Almighty ,115099,English,USA,PG,175000000,2007,11000,5.4,2.35,2000,Comedy,Family
12652,218,10000,585,1,113,509,Lara Pulver,741,100189501,Tom Cruise,Edge of Tomorrow ,431620,English,USA,PG-13,178000000,2014,854,7.9,2.35,77000,Action,Adventure
1004,58,711,91,0,176,60,Rick Aviles,309,88246220,Jeanne Tripplehorn,Waterworld ,144337,English,USA,PG-13,175000000,1995,60,6.1,1.85,0,Action,Adventure
26683,208,23000,250,4,118,570,Dennis Quaid,534,150167630,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,174578,English,USA,PG-13,175000000,2009,2000,5.8,2.35,0,Action,Adventure
2944,0,1000,536,1,95,384,Mindy Kaling,773,356454367,Amy Poehler,Inside Out ,345198,English,USA,PG,175000000,2015,767,8.3,1.85,118000,Adventure,Animation
32921,4000,19000,370,0,106,591,Bill Murray,398,362645141,Scarlett Johansson,The Jungle Book ,106072,English,UK,PG,175000000,2016,13000,7.8,1.85,65000,Adventure,Drama
48638,4000,21000,453,4,124,4000,Scarlett Johansson,723,312057433,Robert Downey Jr.,Iron Man 2 ,522371,English,USA,PG-13,200000000,2010,19000,7,2.35,18000,Action,Adventure
72881,274,26000,416,0,132,11000,Kristen Stewart,710,155111815,Chris Hemsworth,Snow White and the Huntsman ,228554,English,USA,PG-13,170000000,2012,17000,6.1,2.35,53000,Action,Adventure
15516,171,11000,401,2,97,846,Sharlto Copley,634,241407328,Angelina Jolie Pitt,Maleficent ,252257,English,USA,PG,180000000,2014,2000,7,2.35,89000,Action,Adventure
14363,198,10000,521,0,130,884,Judy Greer,620,208543795,Gary Oldman,Dawn of the Planet of the Apes ,317542,English,USA,PG-13,170000000,2014,2000,7.6,1.85,45000,Action,Adventure
1982,596,622,10,3,109,283,Alice Englert,15,,Tamsin Egerton,The Lovers ,2138,English,Belgium,R,,2015,525,4.5,,677,Action,Adventure
20965,47,18000,218,2,128,982,Cary-Hiroyuki Tagawa,324,38297305,Keanu Reeves,47 Ronin ,116994,English,USA,PG-13,175000000,2013,1000,6.3,2.35,35000,Action,Adventure
36188,94,19000,576,1,136,2000,Chris Evans,742,259746958,Scarlett Johansson,Captain America: The Winter Soldier ,496749,English,USA,PG-13,170000000,2014,11000,7.8,2.35,55000,Action,Adventure
4628,31,4000,226,2,93,213,Kathy Griffin,173,238371987,Jon Hamm,Shrek Forever After ,138661,English,USA,PG,165000000,2010,225,6.4,2.35,0,Adventure,Animation
5046,663,2000,443,2,130,604,Chris Bauer,497,93417865,Judy Greer,Tomorrowland ,128306,English,USA,PG,190000000,2015,638,6.5,2.2,37000,Action,Adventure
2963,38,756,384,0,102,562,Daniel Henney,433,222487711,Damon Wayans Jr.,Big Hero 6 ,279093,English,USA,PG,165000000,2014,719,7.9,2.39,41000,Action,Adventure
4451,66,975,377,1,101,833,Sarah Silverman,345,189412677,Jack McBrayer,Wreck-It Ralph ,272534,English,USA,PG,165000000,2012,931,7.8,2.35,40000,Adventure,Animation
16264,0,15000,188,0,100,267,Eddie Deezen,444,665426,Tom Hanks,The Polar Express ,120798,English,USA,G,165000000,2004,726,6.6,2.35,10000,Adventure,Animation
3233,776,890,286,0,120,535,Sela Ward,520,102315545,Vivica A. Fox,Independence Day: Resurgence ,58137,English,USA,PG-13,165000000,2016,812,5.5,2.35,67000,Action,Adventure
20453,255,18000,288,0,98,759,America Ferrera,492,217387997,Gerard Butler,How to Train Your Dragon ,485430,English,USA,PG,165000000,2010,953,8.2,2.35,33000,Adventure,Animation
1769,84,648,280,0,109,191,M.C. Gainey,1676,150350192,Nick Stahl,Terminator 3: Rise of the Machines ,305340,English,USA,R,200000000,2003,284,6.4,2.35,0,Action,Sci-Fi
32438,571,14000,653,3,121,3000,Vin Diesel,1097,333130696,Bradley Cooper,Guardians of the Galaxy ,682155,English,USA,PG-13,170000000,2014,14000,8.1,2.35,96000,Action,Adventure
31488,22000,11000,712,1,169,6000,Anne Hathaway,2725,187991439,Matthew McConaughey,Interstellar ,928227,English,USA,PG-13,165000000,2014,11000,8.6,2.35,349000,Adventure,Drama
81115,22000,29000,642,0,148,23000,Tom Hardy,2803,292568851,Leonardo DiCaprio,Inception ,1468200,English,USA,PG-13,160000000,2010,27000,8.8,2.35,175000,Action,Adventure
699,28,544,1,0,120,12,Shin'ya Tsukamoto,13,,Mark Chinnery,Godzilla Resurgence ,374,Japanese,Japan,,,2016,106,8.2,2.35,0,Action,Adventure
9152,0,5000,645,,182,773,Adam Brown,1367,303001229,Aidan Turner,The Hobbit: An Unexpected Journey ,637246,English,USA,PG-13,180000000,2012,972,7.9,2.35,166000,Adventure,Fantasy
45327,357,23000,187,2,106,4000,Vin Diesel,988,144512310,Paul Walker,The Fast and the Furious ,272223,English,USA,PG-13,38000000,2001,14000,6.7,2.35,14000,Action,Crime
13333,21000,11000,362,2,166,919,Jason Flemyng,822,127490802,Brad Pitt,The Curious Case of Benjamin Button ,459346,English,USA,PG-13,150000000,2008,1000,7.8,2.35,23000,Drama,Fantasy
50983,905,34000,500,3,132,1000,Michael Fassbender,698,146405371,Jennifer Lawrence,X-Men: First Class ,518537,English,USA,PG-13,160000000,2011,13000,7.8,2.35,54000,Action,Adventure
81385,508,34000,389,1,137,14000,Philip Seymour Hoffman,383,281666058,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2 ,166137,English,USA,PG-13,160000000,2015,22000,6.6,2.35,38000,Adventure,Sci-Fi
13388,226,12000,235,0,109,370,Omar Benson Miller,238,63143812,Nicolas Cage,The Sorcerer's Apprentice ,124185,English,USA,PG,150000000,2010,418,6.1,2.35,11000,Action,Adventure
92456,249,87000,231,0,98,702,Mike Vogel,629,60655503,Jimmy Bennett,Poseidon ,82380,English,USA,PG-13,160000000,2006,2000,5.6,2.35,0,Action,Adventure
80806,33,40000,218,1,113,11000,Alan Rickman,131,76846624,Johnny Depp,Alice Through the Looking Glass ,21352,English,USA,PG,170000000,2016,25000,6.4,1.85,30000,Adventure,Family
4705,50,3000,227,2,93,692,Eric Idle,326,320706665,Justin Timberlake,Shrek the Third ,211971,English,USA,PG,160000000,2007,795,6.1,1.85,0,Adventure,Animation
5505,0,3000,275,0,123,648,Callum Rennie,781,46978995,Dominic Cooper,Warcraft ,111609,English,USA,PG-13,160000000,2016,716,7.3,2.35,89000,Action,Adventure
38873,230,24000,474,2,126,2000,Emilia Clarke,867,89732035,J.K. Simmons,Terminator Genisys ,188457,English,USA,PG-13,155000000,2015,10000,6.6,2.35,82000,Action,Adventure
764,150,531,228,4,113,59,Shane Rangi,227,104383624,Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader ,106446,English,USA,PG,155000000,2010,82,6.3,1.78,11000,Adventure,Family
5401,0,3000,191,0,184,691,Jaime King,1999,198539855,Jennifer Garner,Pearl Harbor ,254111,English,USA,PG-13,140000000,2001,961,6.1,2.35,0,Action,Drama
2333,0,662,396,0,144,581,Michael O'Neill,1782,318759914,Zack Ward,Transformers ,513158,English,USA,PG-13,150000000,2007,599,7.1,2.35,8000,Action,Adventure
24598,0,12000,248,3,206,591,Angelina Jolie Pitt,1390,34293771,Anthony Hopkins,Alexander ,138863,English,Germany,R,155000000,2004,11000,5.5,2.35,0,Action,Adventure
33433,282,21000,329,3,138,687,Daniel Radcliffe,1108,292000866,Robert Pattinson,Harry Potter and the Order of the Phoenix ,355137,English,UK,PG-13,150000000,2007,11000,7.5,2.35,0,Adventure,Family
53413,179,21000,295,1,157,10000,Daniel Radcliffe,1896,289994397,Robert Pattinson,Harry Potter and the Goblet of Fire ,385670,English,UK,PG-13,150000000,2005,11000,7.6,2.35,0,Adventure,Family
21584,532,10000,318,0,102,979,Charlize Theron,590,227946274,Will Smith,Hancock ,343648,English,USA,PG-13,150000000,2008,9000,6.4,2.35,0,Action,Drama
13076,508,10000,323,0,104,558,Alice Braga,1413,256386216,Will Smith,I Am Legend ,530870,English,USA,PG-13,150000000,2007,1000,7.2,2.35,11000,Drama,Horror
57844,13000,40000,276,3,115,588,Christopher Lee,1361,206456431,Johnny Depp,Charlie and the Chocolate Factory ,320284,English,USA,PG,150000000,2005,16000,6.7,1.85,0,Adventure,Comedy
4764,663,1000,318,0,111,954,John Ratzenberger,626,206435493,Janeane Garofalo,Ratatouille ,473887,English,USA,G,150000000,2007,1000,8,2.35,10000,Animation,Comedy
59558,22000,23000,478,0,128,11000,Liam Neeson,2685,205343774,Christian Bale,Batman Begins ,980946,English,USA,PG-13,150000000,2005,14000,8.3,2.35,15000,Action,Adventure
3285,35,1000,167,0,89,436,Jada Pinkett Smith,119,179982968,Bernie Mac,Madagascar: Escape 2 Africa ,146019,English,USA,PG,150000000,2008,851,6.7,1.85,0,Action,Adventure
54039,189,49000,185,2,105,1000,Rami Malek,209,177243721,Robin Williams,Night at the Museum: Battle of the Smithsonian ,130272,English,USA,PG,150000000,2009,3000,5.9,2.35,2000,Adventure,Comedy
40054,151,20000,350,0,119,2000,Ryan Reynolds,641,179883016,Hugh Jackman,X-Men Origins: Wolverine ,361924,English,USA,PG-13,150000000,2009,16000,6.7,2.35,0,Action,Adventure
1062,0,309,245,0,129,233,Collin Chou,2121,139259759,Essie Davis,The Matrix Revolutions ,364948,English,Australia,R,150000000,2003,269,6.7,2.35,0,Action,Sci-Fi
2582,69,1000,406,0,102,490,Maurice LaMarche,904,400736600,Josh Gad,Frozen ,421658,English,USA,PG,150000000,2013,523,7.6,2.24,58000,Adventure,Animation
534,0,234,275,0,138,30,Daniel Bernhardt,2789,281492479,Steve Bastoni,The Matrix Reloaded ,421818,English,USA,R,150000000,2003,198,7.2,2.35,0,Action,Sci-Fi
59803,230,26000,486,3,112,12000,Natalie Portman,532,206360018,Chris Hemsworth,Thor: The Dark World ,414070,English,USA,PG-13,170000000,2013,20000,7.1,2.35,63000,Action,Adventure
40025,750,27000,739,0,120,943,Charlize Theron,1588,153629485,Tom Hardy,Mad Max: Fury Road ,552503,English,Australia,R,150000000,2015,9000,8.1,2.35,191000,Action,Adventure
16948,2000,15000,298,2,146,294,Ayelet Zurer,435,133375846,Tom Hanks,Angels & Demons ,207839,English,USA,PG-13,150000000,2009,745,6.7,2.35,0,Mystery,Thriller
60059,0,26000,516,1,115,12000,Natalie Portman,738,181015141,Chris Hemsworth,Thor ,536314,English,USA,PG-13,150000000,2011,20000,7,2.35,63000,Action,Adventure
20007,59,17000,225,0,96,699,Diedrich Bader,178,114053579,Chloë Grace Moretz,Bolt ,146766,English,USA,PG,150000000,2008,759,6.9,1.85,0,Adventure,Animation
2217,12,730,145,0,88,182,Piper Mackenzie Harris,90,119420252,Kelli Garner,G-Force ,33042,English,USA,PG,150000000,2009,607,5.1,2.35,0,Action,Adventure
16184,473,14000,310,0,99,502,Edgar Ramírez,253,83640426,Liam Neeson,Wrath of the Titans ,152826,English,USA,PG-13,150000000,2012,897,5.8,1.85,19000,Action,Adventure
80849,13000,40000,526,7,113,16000,Chloë Grace Moretz,479,79711678,Johnny Depp,Dark Shadows ,199039,English,USA,PG-13,100000000,2012,17000,6.2,1.85,82000,Comedy,Fantasy
21840,188,10000,465,0,131,641,Jeremy Renner,440,195000874,Tom Cruise,Mission: Impossible - Rogue Nation ,232187,English,China,PG-13,150000000,2015,10000,7.4,2.35,47000,Action,Adventure
13071,394,12000,357,0,119,162,Simon Merrells,432,61937495,Anthony Hopkins,The Wolfman ,89442,English,USA,R,150000000,2010,490,5.8,1.85,0,Drama,Fantasy
21175,282,11000,248,2,110,103,Alexander Skarsgård,239,124051759,Christoph Waltz,The Legend of Tarzan ,42372,English,USA,PG-13,180000000,2016,10000,6.6,2.35,29000,Action,Adventure
6576,58,2000,194,0,91,826,Oprah Winfrey,206,126597121,Matthew Broderick,Bee Movie ,105902,English,USA,PG,150000000,2007,852,6.2,1.85,0,Adventure,Animation
21015,90,11000,284,0,90,15,Gary Oldman,209,165230261,Angelina Jolie Pitt,Kung Fu Panda 2 ,182718,English,USA,PG,150000000,2011,10000,7.3,2.35,20000,Action,Adventure
2857,0,1000,280,0,103,346,Noah Ringer,1382,131564731,Seychelle Gabriel,The Last Airbender ,118951,English,USA,PG,150000000,2010,756,4.2,2.35,18000,Action,Adventure
34817,14000,22000,310,0,124,979,Tom Cruise,871,133382309,Philip Seymour Hoffman,Mission: Impossible III ,256695,English,USA,PG-13,150000000,2006,10000,6.9,2.35,0,Action,Adventure
18204,776,17000,339,2,131,256,Jake Weber,434,73103784,Channing Tatum,White House Down ,164238,English,USA,PG-13,150000000,2013,551,6.4,2.35,33000,Action,Drama
2652,25,921,132,0,88,433,Dan Fogler,112,21379315,Elisabeth Harnois,Mars Needs Moms ,17590,English,USA,PG,150000000,2011,562,5.4,2.35,0,Action,Adventure
35161,42,20000,135,0,85,586,Kate Winslet,122,64459316,Hugh Jackman,Flushed Away ,85086,English,UK,PG,149000000,2006,14000,6.7,1.85,0,Adventure,Animation
21393,456,20000,256,4,111,394,Cara Delevingne,186,34964818,Hugh Jackman,Pan ,39956,English,USA,PG,150000000,2015,548,5.8,2.35,24000,Adventure,Family
5810,50,3000,196,2,92,517,Zach Callison,130,111505642,Ty Burrell,Mr. Peabody & Sherman ,47900,English,USA,PG,145000000,2014,1000,6.9,1.85,11000,Adventure,Animation
17944,249,11000,220,2,196,844,Orlando Bloom,1694,133228348,Brad Pitt,Troy ,381672,English,USA,R,175000000,2004,5000,7.2,2.35,0,Adventure,
2444,35,851,211,0,93,436,Martin Short,154,216366733,Jada Pinkett Smith,Madagascar 3: Europe's Most Wanted ,119213,English,USA,PG,145000000,2012,770,6.9,1.85,17000,Adventure,Animation
